Word	Score
----	-----
saree	44043
sease	43900
sasse	43828
saser	42164
sessa	42149
resee	41933
soree	41859
seare	41516
easer	40964
seise	40952
salse	40649
sayee	40621
raree	40567
semee	40471
setae	40380
rasse	40352
siree	40212
sesey	40142
saeta	40007
sense	39995
easel	39832
soare	39830
areae	39823
serer	39802
tease	39504
salsa	39468
laree	39463
tasse	39432
easle	39370
lease	39320
sansa	39312
besee	39276
leese	39271
erase	39121
ranee	39096
serre	39082
seame	38852
saner	38829
sensa	38814
neese	38812
raser	38688
sater	38674
caese	38580
sassy	38561
pease	38481
passe	38409
sonse	38309
mease	38280
tassa	38251
masse	38208
seter	38176
cease	38131
sorer	38116
salet	38036
aerie	37999
raise	37974
saine	37906
serra	37901
asset	37848
desse	37815
seria	37807
eerie	37788
saola	37782
taser	37768
ainee	37752
basse	37695
laser	37584
serai	37575
tarse	37568
cesse	37561
ramee	37493
eater	37474
ansae	37435
sleer	37429
geese	37415
seine	37408
saran	37406
souse	37393
salle	37391
rapee	37361
reate	37263
reset	37241
karee	37240
arose	37155
talea	37151
seral	37131
parae	37085
terse	37070
massa	37027
ranse	37017
paseo	37012
patee	36998
rossa	36987
sorel	36984
perea	36945
erose	36944
leare	36936
seder	36936
spree	36918
stoae	36914
arere	36899
gesse	36894
selle	36893
marae	36884
oarer	36879
sayer	36878
soote	36876
sooey	36849
steer	36838
sente	36834
rarer	36824
fease	36801
soler	36801
ragee	36790
soole	36779
saist	36758
feese	36752
sneer	36741
scree	36686
strae	36657
seaze	36641
melee	36610
ladee	36597
perae	36587
rakee	36581
assai	36570
roose	36561
parse	36545
maser	36544
sager	36523
salat	36497
allee	36483
sleet	36480
saber	36467
satai	36447
saute	36416
sarge	36408
caser	36395
maare	36394
arise	36384
cooee	36347
marse	36344
doree	36344
salal	36314
saker	36314
asana	36306
telae	36295
geasa	36283
taste	36271
sasin	36252
saice	36245
moree	36239
fesse	36231
tasar	36229
sacre	36225
posse	36225
sorra	36215
carse	36195
stare	36167
salue	36161
salep	36135
palea	36128
arete	36122
aesir	36120
eaten	36119
stere	36118
solei	36113
peare	36097
belee	36097
samel	36094
reata	36082
arear	36080
earst	36072
oasal	36072
snare	36070
leear	36068
perse	36047
paise	36031
baser	36031
rasta	36010
eisel	36001
deare	36001
aurae	36000
slate	35981
alose	35976
tasso	35956
deere	35952
rafee	35943
tepee	35943
semie	35914
teene	35911
serge	35910
meare	35896
samen	35871
satem	35864
merse	35846
maise	35830
aiyee	35801
gelee	35794
teste	35773
lasso	35772
reede	35754
aisle	35750
sabre	35747
sarir	35743
arene	35739
assay	35734
reast	35732
boree	35726
sella	35712
steel	35706
resat	35702
samey	35702
reest	35683
safer	35676
suete	35673
sawer	35664
sisal	35662
taata	35660
sista	35655
satay	35611
spaer	35609
salad	35604
reuse	35603
tense	35599
slane	35598
roate	35577
arsey	35574
malae	35569
sensi	35564
speer	35560
abase	35556
roset	35555
neele	35554
insee	35539
peise	35533
essay	35523
haere	35505
setal	35505
neosa	35503
steen	35483
airer	35480
sheer	35472
loose	35457
sanad	35448
soral	35445
sorta	35438
lense	35415
ramse	35414
cadee	35408
loser	35400
state	35390
torse	35384
beare	35383
roosa	35380
reame	35376
semen	35373
resue	35366
mamee	35349
raake	35339
seely	35326
eager	35323
saver	35311
aster	35307
stear	35299
stale	35293
soave	35285
eleet	35280
senna	35270
solar	35262
oater	35253
paste	35248
serir	35245
stele	35244
asada	35229
tehee	35220
msasa	35219
gosse	35208
pasar	35206
serac	35204
agree	35202
payee	35202
rater	35198
tarre	35184
sefer	35178
razee	35167
sewer	35166
siler	35154
pareo	35148
scrae	35147
sowse	35144
resay	35127
siren	35114
galea	35111
sonar	35106
ester	35096
geare	35080
ornee	35074
heare	35056
sacra	35044
aeger	35036
dolee	35029
seyen	35025
naieo	35014
seeld	35008
stane	35007
herse	35006
noose	34998
sayne	34998
alate	34992
sagar	34984
danse	34978
psoae	34964
siege	34962
nisse	34958
areal	34948
noser	34941
mesel	34914
jesse	34912
prase	34902
porae	34901
caste	34898
spare	34889
teade	34883
parer	34881
manse	34873
donee	34873
sable	34873
toise	34870
farse	34865
riser	34857
prese	34853
sauna	34852
paisa	34850
russe	34837
lassi	34817
sever	34813
share	34801
darer	34785
surer	34785
elate	34781
musee	34772
sonne	34765
shere	34752
zoaea	34752
skeer	34742
meane	34736
sissy	34730
raile	34716
saiga	34713
morae	34700
rosso	34692
terre	34686
basen	34676
issei	34674
arede	34662
scare	34657
least	34628
esile	34614
alane	34609
eagre	34603
sepia	34601
testa	34592
taler	34589
beset	34584
sleep	34579
pense	34576
sirra	34568
sabra	34566
poser	34561
arena	34558
fosse	34545
narre	34541
serve	34537
baste	34534
carer	34531
slier	34530
sheet	34523
slade	34521
anise	34517
sarod	34511
ameer	34511
seron	34500
tesla	34495
segar	34486
urase	34480
dense	34480
doser	34465
salpa	34463
nasal	34454
ursae	34450
aorta	34449
