12337: sanes
12304: sores
12191: sales
12069: sones
12036: pares
11953: sates
11923: soles
11909: bares
11876: cares
11857: mares
11801: panes
11798: sames
11788: tares
11768: pores
11747: seres
11701: rares
11685: sades
11674: banes
11655: pales
11645: sages
11641: dares
11641: canes
11641: bores
11622: manes
11608: cores
11604: sabes
11591: gares
11589: mores
11552: fares
11547: sakes
11533: pones
11531: lares
11528: bales
11520: tores
11512: senes
11496: saves
11488: sires
11476: males
11466: ranes
11438: hares
11433: rores
11422: safes
11417: soces
11417: pates
11407: tales
11406: bones
11387: poles
11383: sazes
11374: nares
11373: cones
11373: dores
11366: seles
11364: saxes
11340: wares
11323: gores
11320: rales
11317: fanes
11296: lanes
11295: pases
11290: bates
11285: tones
11284: fores
11279: sokes
11263: lores
11260: dales
11260: boles
11258: sures
11257: cates
11253: sines
11238: mates
11227: coles
11211: peres
11210: gales
11208: moles
11198: rones
11190: vares
11171: fales
11169: tates
11168: bases
11154: kaies
11149: potes
11149: paces
11139: toles
11135: cases
11116: mases
11109: pages
11108: papes
11107: siles
11105: wanes
11102: cames
11100: kanes
11096: soxes
11092: soras
11089: saris
11084: beres
11082: rates
11067: kores
11057: hales
11052: roles
11051: ceres
11049: fones
11047: tases
11032: meres
11027: poses
11022: dates
11022: botes
11014: tames
10994: pomes
10992: doles
10989: cades
10989: moues
10989: cotes
10979: salas
10976: penes
10973: semes
10972: gates
10970: motes
10970: maces
10963: teres
10960: rases
10960: paves
10959: wales
10955: vanes
10954: kales
10949: cages
10948: capes
10942: goles
10941: babes
10935: hones
10933: fates
10930: mages
10929: mapes
10927: rames
10901: taces
10901: totes
10896: janes
10889: mabes
10884: bakes
10871: nones
10869: sites
10868: saros
10867: dames
10867: coses
10860: tapes
10860: sedes
10855: eales
10851: cakes
10850: gases
10849: benes
10848: moses
10845: sants
10843: yores
10840: popes
10834: comes
10833: roues
10832: makes
10830: peles
10828: paxes
10824: paras
10820: tabes
10819: hates
10817: games
10816: deres
10815: momes
10814: races
10814: rotes
10812: sorts
10809: vales
10801: bayes
10800: caves
10797: menes
10792: cires
10790: lases
10789: holes
10779: toses
10778: fames
10774: rages
10773: rapes
10773: mires
10766: geres
10763: takes
10757: lames
10755: nates
10754: bodes
10754: daces
10754: dotes
10747: sises
10746: tomes
10745: sains
10743: pokes
10730: yales
10729: sails
10728: tenes
10727: feres
10726: cafes
10725: noles
10722: pures
10721: codes
10717: pines
10711: solas
10708: salis
10706: leres
10704: gades
10704: tires
10702: modes
10699: salts
10692: roses
10684: slaes
10680: copes
10676: rakes
10669: sairs
10668: mazes
10665: fades
10665: faces
10664: hames
10664: gages
10663: gapes
10661: mopes
10658: sorns
10651: meles
10649: maxes
10645: maras
10644: lades
10644: laces
10644: lotes
10632: doses
10628: jones
10625: raves
10621: mobes
10616: bokes
10613: heres
10612: sarks
10602: soars
10601: sices
10601: sides
10600: names
10599: wases
10599: domes
10593: toges
10592: bowes
10592: topes
10592: sards
10590: bines
10586: samas
10583: cokes
10582: teles
10581: denes
10580: taxes
10576: taras
10571: piles
10571: soots
10566: wames
10564: mokes
10562: cures
10561: kames
10560: poxes
10560: sipes
10558: sezes
10557: cines
10553: paris
10551: hades
10548: saags
10546: rodes
10544: parts
10543: mures
10541: voles
10539: sexes
10538: mines
10533: sarus
10532: coves
10531: genes
10527: fakes
